date,system,pattern,wins,losses,n,win_rate
2026-07-05,v3,niconico|nikoichi|P,42,37,79,53.16
2026-07-05,v3,sansan|telecho|P,276,246,522,52.87
2026-07-05,v3,telecho|nikoichi|P,162,168,330,49.09
2026-07-05,v3,telecho|telecho|B,2250,2186,4436,50.72
2026-07-05,v4,bline|telecho|B,1043,944,1987,52.49
2026-07-05,v4,niconico|dragon|B,343,350,693,49.49
2026-07-05,v4,niconico|nikoichi|B,28,43,71,39.44
2026-07-05,v4,niconico|nikoichi|P,42,37,79,53.16
2026-07-05,v4,sansan|telecho|P,52,63,115,45.22
2026-07-05,v4,telecho|nikoichi|B,118,125,243,48.56
2026-07-05,v4,telecho|nikoichi|P,105,120,225,46.67
2026-07-05,v4,telecho|telecho|B,544,613,1157,47.02
2026-07-06,v3,niconico|dragon|B,99,123,222,44.59
2026-07-06,v3,niconico|nikoichi|B,32,50,82,39.02
2026-07-06,v3,niconico|nikoichi|P,47,45,92,51.09
2026-07-06,v3,sansan|telecho|P,282,251,533,52.91
2026-07-06,v3,telecho|nikoichi|P,188,198,386,48.70
2026-07-06,v3,telecho|telecho|B,2299,2230,4529,50.76
2026-07-06,v4,bline|telecho|B,1119,1020,2139,52.31
2026-07-06,v4,niconico|dragon|B,363,372,735,49.39
2026-07-06,v4,niconico|nikoichi|B,32,50,82,39.02
2026-07-06,v4,niconico|nikoichi|P,47,45,92,51.09
2026-07-06,v4,sansan|telecho|P,58,68,126,46.03
2026-07-06,v4,telecho|nikoichi|B,134,146,280,47.86
2026-07-06,v4,telecho|nikoichi|P,131,150,281,46.62
2026-07-06,v4,telecho|telecho|B,593,657,1250,47.44
2026-07-07,v3,niconico|dragon|B,123,141,264,46.59
2026-07-07,v3,niconico|nikoichi|B,39,59,98,39.80
2026-07-07,v3,niconico|nikoichi|P,54,54,108,50.00
2026-07-07,v3,sansan|telecho|P,285,255,540,52.78
2026-07-07,v3,telecho|nikoichi|P,215,223,438,49.09
2026-07-07,v3,telecho|telecho|B,2349,2266,4615,50.90
2026-07-07,v4,bline|telecho|B,1199,1085,2284,52.50
2026-07-07,v4,niconico|dragon|B,387,390,777,49.81
2026-07-07,v4,niconico|nikoichi|B,39,59,98,39.80
2026-07-07,v4,niconico|nikoichi|P,54,54,108,50.00
2026-07-07,v4,sansan|telecho|P,61,72,133,45.86
2026-07-07,v4,telecho|nikoichi|B,153,167,320,47.81
2026-07-07,v4,telecho|nikoichi|P,158,175,333,47.45
2026-07-07,v4,telecho|telecho|B,643,693,1336,48.13
2026-07-08,v3,niconico|dragon|B,138,164,302,45.70
2026-07-08,v3,niconico|nikoichi|B,44,68,112,39.29
2026-07-08,v3,niconico|nikoichi|P,61,59,120,50.83
2026-07-08,v3,sansan|telecho|P,291,261,552,52.72
2026-07-08,v3,telecho|nikoichi|P,241,245,486,49.59
2026-07-08,v3,telecho|telecho|B,2384,2306,4690,50.83
2026-07-08,v4,bline|telecho|B,1277,1162,2439,52.36
2026-07-08,v4,niconico|dragon|B,402,413,815,49.33
2026-07-08,v4,niconico|nikoichi|B,44,68,112,39.29
2026-07-08,v4,niconico|nikoichi|P,61,59,120,50.83
2026-07-08,v4,sansan|telecho|P,67,78,145,46.21
2026-07-08,v4,telecho|nikoichi|B,187,184,371,50.40
2026-07-08,v4,telecho|nikoichi|P,185,197,382,48.43
2026-07-08,v4,telecho|telecho|B,678,733,1411,48.05
2026-07-09,v3,niconico|dragon|B,152,182,334,45.51
2026-07-09,v3,niconico|nikoichi|B,50,74,124,40.32
2026-07-09,v3,niconico|nikoichi|P,67,69,136,49.26
2026-07-09,v3,sansan|telecho|P,295,263,558,52.87
2026-07-09,v3,telecho|nikoichi|P,273,260,533,51.22
2026-07-09,v3,telecho|telecho|B,2423,2347,4770,50.80
2026-07-09,v4,bline|telecho|B,1368,1258,2626,52.09
2026-07-09,v4,niconico|dragon|B,416,431,847,49.11
2026-07-09,v4,niconico|nikoichi|B,50,74,124,40.32
2026-07-09,v4,niconico|nikoichi|P,67,69,136,49.26
2026-07-09,v4,sansan|telecho|P,71,80,151,47.02
2026-07-09,v4,telecho|nikoichi|B,208,212,420,49.52
2026-07-09,v4,telecho|nikoichi|P,217,212,429,50.58
2026-07-09,v4,telecho|telecho|B,717,774,1491,48.09
2026-07-10,v3,niconico|dragon|B,176,201,377,46.68
2026-07-10,v3,niconico|nikoichi|B,55,81,136,40.44
2026-07-10,v3,niconico|nikoichi|P,77,79,156,49.36
2026-07-10,v3,sansan|telecho|P,296,263,559,52.95
2026-07-10,v3,telecho|nikoichi|P,301,287,588,51.19
2026-07-10,v3,telecho|telecho|B,2464,2389,4853,50.77
2026-07-10,v4,bline|telecho|B,1444,1348,2792,51.72
2026-07-10,v4,niconico|dragon|B,440,450,890,49.44
2026-07-10,v4,niconico|nikoichi|B,55,81,136,40.44
2026-07-10,v4,niconico|nikoichi|P,77,79,156,49.36
2026-07-10,v4,sansan|telecho|P,72,80,152,47.37
2026-07-10,v4,telecho|nikoichi|B,235,241,476,49.37
2026-07-10,v4,telecho|nikoichi|P,245,239,484,50.62
2026-07-10,v4,telecho|telecho|B,758,817,1575,48.13
2026-07-11,v3,niconico|dragon|B,190,232,422,45.02
2026-07-11,v3,niconico|nikoichi|B,64,85,149,42.95
2026-07-11,v3,niconico|nikoichi|P,80,89,169,47.34
2026-07-11,v3,sansan|telecho|P,297,265,562,52.85
2026-07-11,v3,telecho|nikoichi|P,323,316,639,50.55
2026-07-11,v3,telecho|telecho|B,2498,2439,4937,50.60
2026-07-11,v4,bline|telecho|B,1516,1423,2939,51.58
2026-07-11,v4,niconico|dragon|B,454,481,935,48.56
2026-07-11,v4,niconico|nikoichi|B,64,85,149,42.95
2026-07-11,v4,niconico|nikoichi|P,80,89,169,47.34
2026-07-11,v4,sansan|telecho|P,73,82,155,47.10
2026-07-11,v4,telecho|nikoichi|B,264,262,526,50.19
2026-07-11,v4,telecho|nikoichi|P,267,268,535,49.91
2026-07-11,v4,telecho|telecho|B,792,867,1659,47.74
2026-07-12,v3,niconico|dragon|B,207,245,452,45.80
2026-07-12,v3,niconico|nikoichi|B,71,94,165,43.03
2026-07-12,v3,niconico|nikoichi|P,91,101,192,47.40
2026-07-12,v3,sansan|telecho|P,298,267,565,52.74
2026-07-12,v3,telecho|nikoichi|P,347,345,692,50.14
2026-07-12,v3,telecho|telecho|B,2532,2481,5013,50.51
2026-07-12,v4,bline|telecho|B,1577,1498,3075,51.28
2026-07-12,v4,niconico|dragon|B,471,494,965,48.81
2026-07-12,v4,niconico|nikoichi|B,71,94,165,43.03
2026-07-12,v4,niconico|nikoichi|P,91,101,192,47.40
2026-07-12,v4,sansan|telecho|P,74,84,158,46.84
2026-07-12,v4,telecho|nikoichi|B,283,290,573,49.39
2026-07-12,v4,telecho|nikoichi|P,292,297,589,49.58
2026-07-12,v4,telecho|telecho|B,826,909,1735,47.61
2026-07-13,v3,niconico|dragon|B,231,267,498,46.39
2026-07-13,v3,niconico|nikoichi|B,81,102,183,44.26
2026-07-13,v3,niconico|nikoichi|P,96,109,205,46.83
2026-07-13,v3,sansan|telecho|P,302,269,571,52.89
2026-07-13,v3,telecho|nikoichi|P,367,370,737,49.80
2026-07-13,v3,telecho|telecho|B,2576,2516,5092,50.59
2026-07-13,v4,bline|telecho|B,1658,1569,3227,51.38
2026-07-13,v4,niconico|dragon|B,495,516,1011,48.96
2026-07-13,v4,niconico|nikoichi|B,81,102,183,44.26
2026-07-13,v4,niconico|nikoichi|P,96,109,205,46.83
2026-07-13,v4,sansan|telecho|P,78,86,164,47.56
2026-07-13,v4,telecho|nikoichi|B,310,311,621,49.92
2026-07-13,v4,telecho|nikoichi|P,312,322,634,49.21
2026-07-13,v4,telecho|telecho|B,870,944,1814,47.96
2026-07-14,v3,niconico|dragon|B,253,279,532,47.56
2026-07-14,v3,niconico|nikoichi|B,86,109,195,44.10
2026-07-14,v3,niconico|nikoichi|P,104,116,220,47.27
2026-07-14,v3,sansan|telecho|P,305,269,574,53.14
2026-07-14,v3,telecho|nikoichi|P,401,395,796,50.38
2026-07-14,v3,telecho|telecho|B,2620,2564,5184,50.54
2026-07-14,v4,bline|telecho|B,1744,1645,3389,51.46
2026-07-14,v4,niconico|dragon|B,517,528,1045,49.47
2026-07-14,v4,niconico|nikoichi|B,86,109,195,44.10
2026-07-14,v4,niconico|nikoichi|P,104,116,220,47.27
2026-07-14,v4,sansan|telecho|P,81,86,167,48.50
2026-07-14,v4,telecho|nikoichi|B,339,340,679,49.93
2026-07-14,v4,telecho|nikoichi|P,346,347,693,49.93
2026-07-14,v4,telecho|telecho|B,914,992,1906,47.95
2026-07-15,v3,niconico|dragon|B,270,300,570,47.37
2026-07-15,v3,niconico|nikoichi|B,97,122,219,44.29
2026-07-15,v3,niconico|nikoichi|P,117,125,242,48.35
2026-07-15,v3,sansan|telecho|P,307,273,580,52.93
2026-07-15,v3,telecho|nikoichi|P,429,414,843,50.89
2026-07-15,v3,telecho|telecho|B,2657,2599,5256,50.55
2026-07-15,v4,bline|telecho|B,1831,1725,3556,51.49
2026-07-15,v4,niconico|dragon|B,534,548,1082,49.35
2026-07-15,v4,niconico|nikoichi|B,97,122,219,44.29
2026-07-15,v4,niconico|nikoichi|P,117,125,242,48.35
2026-07-15,v4,sansan|telecho|P,83,90,173,47.98
2026-07-15,v4,telecho|nikoichi|B,361,371,732,49.32
2026-07-15,v4,telecho|nikoichi|P,374,366,740,50.54
2026-07-15,v4,telecho|telecho|B,951,1027,1978,48.08
2026-07-16,v3,niconico|dragon|B,290,316,606,47.85
2026-07-16,v3,niconico|nikoichi|B,101,128,229,44.10
2026-07-16,v3,niconico|nikoichi|P,122,128,250,48.80
2026-07-16,v3,sansan|telecho|P,307,275,582,52.75
2026-07-16,v3,telecho|nikoichi|P,455,439,894,50.89
2026-07-16,v3,telecho|telecho|B,2697,2634,5331,50.59
2026-07-16,v4,bline|telecho|B,1892,1779,3671,51.54
2026-07-16,v4,niconico|dragon|B,554,564,1118,49.55
2026-07-16,v4,niconico|nikoichi|B,101,128,229,44.10
2026-07-16,v4,niconico|nikoichi|P,122,128,250,48.80
2026-07-16,v4,sansan|telecho|P,83,92,175,47.43
2026-07-16,v4,telecho|nikoichi|B,386,393,779,49.55
2026-07-16,v4,telecho|nikoichi|P,400,391,791,50.57
2026-07-16,v4,telecho|telecho|B,991,1062,2053,48.27
2026-07-17,v3,niconico|dragon|B,301,335,636,47.33
2026-07-17,v3,niconico|nikoichi|B,106,136,242,43.80
2026-07-17,v3,niconico|nikoichi|P,127,138,265,47.92
2026-07-17,v3,sansan|telecho|P,309,280,589,52.46
2026-07-17,v3,telecho|nikoichi|P,475,465,940,50.53
2026-07-17,v3,telecho|telecho|B,2740,2669,5409,50.66
2026-07-17,v4,bline|telecho|B,1961,1847,3808,51.50
2026-07-17,v4,niconico|dragon|B,565,583,1148,49.22
2026-07-17,v4,niconico|nikoichi|B,106,136,242,43.80
2026-07-17,v4,niconico|nikoichi|P,127,138,265,47.92
2026-07-17,v4,sansan|telecho|P,85,97,182,46.70
2026-07-17,v4,telecho|nikoichi|B,418,409,827,50.54
2026-07-17,v4,telecho|nikoichi|P,420,418,838,50.12
2026-07-17,v4,telecho|telecho|B,1034,1096,2130,48.54
2026-07-18,v3,niconico|dragon|B,318,355,673,47.25
2026-07-18,v3,niconico|nikoichi|B,112,140,252,44.44
2026-07-18,v3,niconico|nikoichi|P,133,144,277,48.01
2026-07-18,v3,sansan|telecho|P,312,281,593,52.61
2026-07-18,v3,telecho|nikoichi|P,496,486,982,50.51
2026-07-18,v3,telecho|telecho|B,2784,2703,5487,50.74
2026-07-18,v4,bline|telecho|B,2028,1912,3940,51.47
